,Logistic regression ROC AUC
0,0.8178522431512273
1,0.8178522431512273
2,0.8178522431512273
3,0.8178522431512273
4,0.8178522431512273
5,0.8178522431512273
6,0.8178522431512273
7,0.8178522431512273
8,0.8178522431512273
9,0.8178522431512273
10,0.8178522431512273
11,0.8178522431512273
12,0.8178522431512273
13,0.8178522431512273
14,0.8178522431512273
15,0.8178522431512273
16,0.8178522431512273
17,0.8178522431512273
18,0.8178522431512273
19,0.8178522431512273
20,0.8178522431512273
21,0.8178522431512273
22,0.8178522431512273
23,0.8178522431512273
24,0.8178522431512273
25,0.8178522431512273
26,0.8178522431512273
27,0.8178522431512273
28,0.8178522431512273
29,0.8178522431512273
30,0.8178522431512273
31,0.8178522431512273
32,0.8178522431512273
33,0.8178522431512273
34,0.8178522431512273
35,0.8178522431512273
36,0.8178522431512273
37,0.8178522431512273
38,0.8178522431512273
39,0.8178522431512273
40,0.8178522431512273
41,0.8178522431512273
42,0.8178522431512273
43,0.8178522431512273
44,0.8178522431512273
45,0.8178522431512273
46,0.8178522431512273
47,0.8178522431512273
48,0.8178522431512273
49,0.8178522431512273
50,0.8178522431512273
51,0.8178522431512273
52,0.8178522431512273
53,0.8178522431512273
54,0.8178522431512273
55,0.8178522431512273
56,0.8178522431512273
57,0.8178522431512273
58,0.8178522431512273
59,0.8178522431512273
60,0.8178522431512273
61,0.8178522431512273
62,0.8178522431512273
63,0.8178522431512273
64,0.8178522431512273
65,0.8178522431512273
66,0.8178522431512273
67,0.8178522431512273
68,0.8178522431512273
69,0.8178522431512273
70,0.8178522431512273
71,0.8178522431512273
72,0.8178522431512273
73,0.8178522431512273
74,0.8178522431512273
75,0.8178522431512273
76,0.8178522431512273
77,0.8178522431512273
78,0.8178522431512273
79,0.8178522431512273
80,0.8178522431512273
81,0.8178522431512273
82,0.8178522431512273
83,0.8178522431512273
84,0.8178522431512273
85,0.8178522431512273
86,0.8178522431512273
87,0.8178522431512273
88,0.8178522431512273
89,0.8178522431512273
90,0.8178522431512273
91,0.8178522431512273
92,0.8178522431512273
93,0.8178522431512273
94,0.8178522431512273
95,0.8178522431512273
96,0.8178522431512273
97,0.8178522431512273
98,0.8178522431512273
99,0.8178522431512273
